iter	Passed	Remaining
134	18105	116011
135	18214	115714
136	18318	115395
137	18448	115234
138	18608	115266
139	18749	115178
140	18851	114845
141	19017	114908
142	19157	114812
143	19277	114595
144	19427	114553
145	19534	114264
146	19638	113958
147	19838	114207
148	19940	113888
149	20066	113711
150	20183	113482
151	20290	113199
152	20391	112886
153	20503	112634
154	20684	112766
155	20835	112725
156	20978	112644
157	21080	112342
158	21233	112310
159	21353	112105
160	21463	111848
161	21600	111734
162	21737	111622
163	21844	111352
164	21974	111202
165	22062	110841
166	22167	110570
167	22301	110443
168	22403	110162
169	22511	109909
170	22628	109701
171	22801	109765
172	22906	109499
173	23072	109528
174	23187	109313
175	23304	109107
176	23472	109139
177	23580	108893
178	23676	108592
179	23767	108272
180	23869	108004
181	24029	108000
182	24153	107832
183	24243	107513
184	24338	107222
185	24432	106924
186	24550	106736
187	24654	106488
188	24743	106175
189	24860	105985
190	24981	105812
191	25287	106420
192	25410	106250
193	25543	106123
194	25704	106114
195	25810	105876
196	25898	105565
197	26000	105315
198	26103	105071
199	26261	105047
200	26369	104823
201	26460	104530
202	26547	104229
203	26676	104089
204	26832	104058
205	26995	104052
206	27159	104044
207	27387	104284
208	27479	104002
209	27568	103709
210	27658	103425
211	27747	103137
212	27833	102841
213	27918	102540
214	28000	102234
215	28085	101939
216	28176	101670
217	28266	101397
218	28411	101321
219	28497	101036
220	28583	100754
221	28668	100469
222	28764	100224
223	28862	99987
224	28952	99726
225	29040	99458
226	29132	99205
227	29225	98954
228	29311	98684
229	29449	98592
230	29539	98338
231	29629	98083
232	29734	97880
233	29870	97781
234	29993	97639
235	30131	97543
236	30297	97538
237	30539	97776
238	30657	97617
239	30825	97613
240	30991	97604
241	31156	97588
242	31323	97579
243	31487	97560
244	31706	97709
245	31794	97452
246	31886	97209
247	31971	96944
248	32059	96693
249	32149	96448
250	32236	96195
251	32328	95958
252	32411	95697
253	32505	95467
254	32592	95221
255	32731	95124
256	32823	94893
257	32912	94654
258	33004	94425
259	33087	94172
260	33224	94071
261	33375	94011
262	33539	93987
263	33691	93927
264	33833	93839
265	33931	93629
266	34031	93427
267	34147	93268
268	34251	93076
269	34360	92899
270	34458	92695
271	34618	92656
272	34887	92906
273	34998	92734
274	35162	92702
275	35300	92601
276	35400	92399
277	35499	92195
278	35631	92080
279	35789	92030
280	36019	92164
281	36106	91930
282	36204	91727
283	36290	91492
284	36373	91253
285	36457	91016
286	36566	90841
287	36673	90664
288	36780	90486
289	36884	90303
290	37115	90429
291	37242	90300
292	37348	90121
293	37453	89939
294	37558	89758
295	37680	89618
296	37823	89528
297	37986	89485
298	38093	89308
299	38234	89214
300	38321	88992
301	38433	88829
302	38602	88798
303	38765	88752
304	38932	88715
305	39095	88668
306	39467	89090
307	39583	88935
308	39726	88837
309	39861	88723
310	40023	88669
311	40189	88623
312	40355	88574
313	40585	88668
314	40699	88504
315	40863	88452
316	41033	88410
317	41200	88359
318	41362	88300
319	41526	88243
320	41696	88199
321	41783	87977
322	41868	87755
323	41959	87545
324	42097	87432
325	42263	87378
326	42430	87326
327	42593	87265
328	42854	87403
329	42992	87288
330	43159	87232
331	43323	87168
332	43484	87099
333	43629	86997
334	43878	87103
335	44002	86956
336	44120	86801
337	44245	86657
338	44410	86594
339	44498	86379
340	44580	86154
341	44669	85943
342	44759	85735
343	44850	85529
344	45024	85481
345	45115	85275
346	45202	85064
347	45290	84853
348	45377	84643
349	45463	84431
350	45549	84221
351	45630	84001
352	45714	83788
353	45804	83587
354	45889	83377
355	46140	83467
356	46228	83262
357	46312	83051
358	46401	82850
359	46490	82649
360	46578	82447
361	46667	82248
362	46761	82058
363	46850	81859
364	46941	81665
365	47033	81472
366	47121	81275
367	47280	81199
368	47365	80996
369	47449	80791
370	47533	80588
371	47613	80379
372	47702	80186
373	47790	79991
374	47880	79800
375	47967	79606
376	48057	79416
377	48193	79301
378	48350	79223
379	48447	79045
380	48554	78885
381	48661	78724
382	48766	78561
383	48899	78443
384	49067	78380
385	49211	78279
386	49402	78252
387	49527	78120
388	49678	78030
389	49780	77862
390	49872	77679
391	49966	77498
392	50110	77396
393	50275	77327
394	50620	77532
395	50752	77410
396	50902	77315
397	51072	77250
398	51238	77178
399	51403	77104
400	51503	76933
401	51639	76817
402	51786	76716
403	51919	76594
404	52031	76441
405	52169	76327
406	52286	76181
407	52387	76013
408	52490	75847
409	52592	75681
410	52847	75735
411	52958	75580
412	53058	75411
413	53168	75258
414	53332	75179
415	53478	75076
416	53585	74916
417	53678	74738
418	53767	74555
419	53964	74522
420	54058	74345
421	54162	74184
422	54248	73998
423	54337	73816
424	54426	73635
425	54511	73450
426	54611	73284
427	54703	73108
428	54804	72945
429	54896	72769
430	55152	72811
431	55241	72631
432	55331	72454
433	55418	72274
434	55505	72093
435	55586	71905
436	55678	71732
437	55786	71580
438	55903	71439
439	56067	71358
440	56373	71457
441	56471	71292
442	56581	71141
443	56743	71057
444	56847	70899
445	56950	70740
446	57101	70642
447	57262	70554
448	57494	70556
449	57580	70375
450	57662	70192
451	57747	70012
452	57839	69841
453	57942	69683
454	58037	69517
455	58123	69340
456	58213	69167
457	58311	69005
458	58627	69101
459	58751	68969
460	58854	68812
461	58940	68636
462	59029	68463
463	59116	68289
464	59204	68117
465	59296	67949
466	59385	67778
467	59475	67609
468	59561	67435
469	59733	67359
470	59825	67192
471	59912	67020
472	59998	66848
473	60085	66677
474	60168	66501
475	60256	66332
476	60346	66166
477	60433	65996
478	60520	65827
479	60608	65658
480	60695	65490
481	60884	65432
482	60975	65267
483	61060	65097
484	61150	64932
485	61236	64764
486	61327	64601
487	61425	64446
488	61570	64340
489	61661	64178
490	61753	64017
491	62038	64056
492	62131	63895
493	62217	63729
494	62305	63564
495	62408	63414
496	62506	63260
497	62636	63139
498	62792	63043
499	62899	62899
500	62997	62746
501	63212	62709
502	63340	62584
503	63439	62432
504	63537	62279
505	63642	62133
506	63757	61997
507	63926	61912
508	64092	61825
509	64403	61878
510	64528	61749
511	64690	61658
512	64874	61586
513	64977	61437
514	65118	61325
515	65287	61238
516	65619	61303
517	65769	61198
518	65936	61108
519	66088	61004
520	66192	60855
521	66294	60706
522	66430	60587
523	66876	60750
524	66971	60593
525	67093	60460
526	67215	60328
527	67316	60176
528	67415	60024
529	67521	59877
530	67648	59749
531	67807	59650
532	68082	59652
533	68203	59518
534	68374	59428
535	68540	59333
536	68645	59186
537	68753	59040
538	68858	58893
539	68998	58776
540	69261	58763
541	69409	58652
542	69545	58531
543	69682	58410
544	69848	58313
545	70011	58214
546	70178	58118
547	70531	58175
548	70672	58056
549	70838	57958
550	71006	57861
551	71179	57769
552	71333	57659
553	71586	57630
554	71690	57481
555	71814	57348
556	71949	57224
557	72113	57122
558	72280	57023
559	72447	56922
560	72852	57009
561	72971	56871
562	73109	56747
563	73273	56644
564	73426	56532
565	73567	56410
566	73722	56299
567	74033	56306
568	74155	56170
569	74301	56051
570	74403	55900
571	74534	55770
572	74696	55663
573	74863	55560
574	75025	55453
575	75320	55443
576	75475	55331
577	75634	55220
578	75779	55100
579	75942	54992
580	76108	54887
581	76475	54925
582	76589	54781
583	76725	54653
584	76837	54508
585	77002	54401
586	77167	54293
587	77323	54178
588	77580	54134
589	77674	53977
590	77818	53854
591	77967	53734
592	78131	53624
593	78302	53520
594	78465	53409
595	78776	53398
596	78895	53257
597	79025	53123
598	79148	52986
599	79302	52868
600	79457	52751
601	79611	52633
602	80031	52690
603	80139	52542
604	80242	52389
605	80344	52237
606	80488	52111
607	80651	51999
608	80819	51889
609	80983	51776
610	81254	51731
611	81393	51602
612	81536	51475
613	81698	51361
614	81853	51241
615	81940	51079
616	82027	50917
617	82112	50755
618	82199	50594
619	82423	50517
620	82550	50381
621	82641	50222
622	82732	50064
623	82820	49904
624	82924	49754
625	83027	49604
626	83130	49454
627	83223	49297
628	83311	49139
629	83603	49100
630	83710	48952
631	83804	48797
632	83910	48649
633	84022	48505
634	84130	48358
635	84231	48207
636	84398	48095
637	84654	48032
638	84792	47903
639	84917	47765
640	85007	47609
641	85109	47460
642	85208	47308
643	85339	47175
644	85506	47061
645	85672	46947
646	86038	46942
647	86127	46785
648	86224	46632
649	86337	46489
650	86430	46335
651	86575	46208
652	86752	46099
653	86873	45960
654	87190	45924
655	87275	45766
656	87382	45619
657	87506	45482
658	87663	45361
659	87783	45221
660	87936	45098
661	88046	44954
662	88166	44814
663	88510	44788
664	88615	44641
665	88752	44509
666	88885	44375
667	88991	44229
668	89110	44088
669	89284	43975
670	89403	43835
671	89725	43794
672	89817	43640
673	89924	43494
674	90025	43345
675	90129	43198
676	90240	43054
677	90342	42906
678	90435	42753
679	90539	42606
680	90642	42459
681	90993	42427
682	91113	42288
683	91223	42144
684	91352	42008
685	91459	41863
686	91560	41715
687	91667	41570
688	91764	41420
689	91870	41275
690	92140	41202
691	92248	41058
692	92368	40919
693	92541	40803
694	92641	40655
695	92799	40533
696	92954	40409
697	93149	40302
698	93328	40188
699	93429	40041
700	93571	39911
701	93740	39792
702	93833	39642
703	93920	39489
704	94009	39337
705	94100	39186
706	94189	39034
707	94511	38979
708	94605	38829
709	94690	38676
710	94778	38524
711	94864	38371
712	94954	38221
713	95042	38070
714	95126	37917
715	95211	37765
716	95298	37614
717	95386	37463
718	95472	37312
719	95734	37229
720	95830	37082
721	95916	36931
722	96007	36782
723	96094	36632
724	96210	36493
725	96342	36360
726	96437	36213
727	96527	36065
728	96614	35915
729	96967	35864
730	97057	35716
731	97140	35565
732	97228	35416
733	97309	35264
734	97392	35114
735	97482	34966
736	97569	34817
737	97655	34669
738	97743	34521
739	97836	34374
740	97921	34226
741	98161	34131
742	98249	33984
743	98334	33835
744	98423	33688
745	98511	33541
746	98598	33393
747	98691	33248
748	98781	33103
749	98868	32956
750	98955	32809
751	99045	32663
752	99375	32597
753	99471	32453
754	99559	32307
755	99649	32162
756	99749	32019
757	99837	31874
758	99925	31728
759	100014	31583
760	100097	31436
761	100188	31292
762	100272	31146
763	100501	31044
764	100594	30901
765	100680	30756
766	100765	30610
767	100851	30465
768	100938	30320
769	101022	30175
770	101105	30030
771	101189	29884
772	101273	29739
773	101364	29597
774	101449	29453
775	101791	29383
776	101890	29242
777	101977	29098
778	102060	28954
779	102148	28811
780	102234	28667
781	102323	28525
782	102409	28381
783	102497	28239
784	102590	28098
785	102676	27955
786	102876	27843
787	102970	27702
788	103052	27559
789	103135	27415
790	103217	27272
791	103303	27130
792	103389	26988
793	103476	26846
794	103563	26704
795	103652	26564
796	103735	26421
797	103826	26281
798	104161	26203
799	104255	26063
800	104341	25922
801	104433	25782
802	104521	25642
803	104611	25502
804	104708	25364
805	104796	25223
806	104884	25083
807	104985	24947
808	105082	24809
809	105346	24710
810	105480	24581
811	105599	24449
812	105747	24323
813	105899	24198
814	106060	24075
815	106229	23953
816	106658	23890
817	106753	23751
818	106841	23612
819	106934	23473
820	107020	23333
821	107106	23193
822	107191	23053
823	107272	22912
824	107362	22773
825	107448	22634
826	107535	22495
827	107622	22356
828	107877	22252
829	107966	22113
830	108056	21975
831	108145	21837
832	108231	21698
833	108319	21559
834	108412	21422
835	108521	21289
836	108661	21161
837	108801	21033
838	109208	20956
839	109325	20823
840	109480	20698
841	109645	20574
842	109816	20452
843	109976	20327
844	110087	20193
845	110367	20090
846	110490	19958
847	110658	19835
848	110777	19702
849	110884	19567
850	110981	19431
851	111084	19296
852	111252	19172
853	111608	19080
854	111705	18944
855	111794	18806
856	111882	18668
857	111967	18530
858	112052	18392
859	112141	18255
860	112229	18118
861	112316	17981
862	112405	17844
863	112492	17707
864	112580	17570
865	112855	17462
866	112976	17330
867	113118	17202
868	113263	17074
869	113354	16938
870	113441	16801
871	113529	16664
872	113619	16528
873	113740	16397
874	114215	16316
875	114324	16182
876	114423	16047
877	114585	15921
878	114753	15796
879	114913	15670
880	115068	15542
881	115382	15436
882	115482	15301
883	115613	15171
884	115764	15042
885	115928	14916
886	116094	14789
887	116259	14663
888	116704	14571
889	116810	14437
890	116956	14307
891	117091	14176
892	117230	14046
893	117384	13918
894	117551	13790
895	117677	13659
896	118039	13554
897	118132	13418
898	118221	13281
899	118312	13145
900	118402	13009
901	118491	12873
902	118585	12738
903	118719	12607
904	118872	12478
905	119092	12356
906	119236	12226
907	119365	12094
908	119469	11960
909	119608	11829
910	119740	11698
911	119897	11569
912	120041	11438
913	120515	11339
914	120612	11204
915	120729	11071
916	120863	10939
917	121008	10809
918	121137	10676
919	121280	10546
920	121447	10417
921	121780	10302
922	121898	10169
923	122032	10037
924	122194	9907
925	122357	9778
926	122506	9647
927	122674	9517
928	123099	9408
929	123236	9275
930	123333	9140
931	123465	9008
932	123631	8878
933	123800	8748
934	123964	8617
935	124429	8507
936	124526	8372
937	124667	8240
938	124796	8107
939	124928	7974
940	125068	7841
941	125204	7709
942	125341	7576
943	125657	7454
944	125776	7320
945	125897	7186
946	126025	7053
947	126190	6921
948	126337	6789
949	126446	6655
950	126549	6520
951	126962	6401
952	127059	6266
953	127182	6132
954	127280	5997
955	127377	5862
956	127476	5727
957	127575	5593
958	127675	5458
959	127777	5324
960	127944	5192
961	128210	5064
962	128359	4931
963	128483	4798
964	128613	4664
965	128776	4532
966	128924	4399
967	129077	4267
968	129513	4143
969	129620	4008
970	129716	3874
971	129815	3739
972	129919	3605
973	130022	3470
974	130122	3336
975	130226	3202
976	130386	3069
977	130901	2944
978	131011	2810
979	131136	2676
980	131300	2543
981	131466	2409
982	131629	2276
983	131788	2142
984	132148	2012
985	132253	1877
986	132342	1743
987	132432	1608
988	132523	1473
989	132614	1339
990	132710	1205
991	132834	1071
992	132930	937
993	133016	802
994	133107	668
995	133542	536
996	133633	402
997	133773	268
998	133934	134
999	134098	0
